id,conditionCode,order,template,precision,weight
#稳定线索ID,条件代码,同条件内顺序,私有线索模板,精度,抽取权重
sc-c01,c01,1,石缝的冷风指向圣地所在区域的{direction}方,direction,1
sc-c02,c02,1,残碑背面记着圣地离{region}边界并不遥远,region,1
sc-c03,c03,1,信使说圣地在离你{distance}之外的旧道尽头,distance,1
sc-c04,c04,1,祭坛余烬在{direction}方留下了与圣地相同的矿尘,direction,1
sc-c05,c05,1,哨所的密函标出圣地靠近{region}的荒原,region,1
sc-c06,c06,1,学者把圣地相对你村庄的方位记为{direction},direction,1
sc-c07,c07,1,拼片显示圣地不在当前区域而在{region}附近,region,1
sc-c08,c08,1,营地星图把圣地标在{direction}方的远处,direction,1
sc-c09,c09,1,军营账本称圣地距这里约{distance},distance,1
sc-c10,c10,1,争夺点的印记与{region}方向的石门共鸣,region,1
sc-c11,c11,1,补给清单的终点和圣地同在{direction}方,direction,1
sc-c12,c12,1,遗物商队的车辙在{region}边缘突然消失,region,1
sc-c13,c13,1,货箱暗格只写着圣地离此{distance},distance,1
sc-c14,c14,1,测绘结果缩小到{region}周边的数个六边形,region,1
sc-c15,c15,1,旋转符文最终朝向圣地所在的{direction},direction,1
sc-c16,c16,1,共战留下的回响来自{region}方向,region,1
sc-c17,c17,1,同步祭坛的余震显示圣地在{distance}外,distance,1
sc-c18,c18,1,巨兽巢穴后的裂隙直指{direction}方,direction,1
sc-c19,c19,1,禁制终解让{region}附近的石层开始震动,region,1
sc-c20,c20,1,无损货箱的封蜡绘出圣地距此{distance},distance,1
sc-c21,c21,1,三方共鸣把圣地轮廓投向{region},region,1
sc-c22,c22,1,军旗背面的箭头坚定指向{direction},direction,1
